Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2025-03-06T00:00:00+05:30,1715,1722.3,1691.1,1715.85,10610547,0,1711.5,1722.3,1691.1,31.2,3.5,UP,4.35,,,-191.55,,,,
2025-03-05T00:00:00+05:30,1692.45,1732.95,1692.45,1711.5,8180782,0,1688.3,1732.95,1688.3,44.65,4.15,UP,23.2,,,-197.55,,,,
2025-03-04T00:00:00+05:30,1695,1699,1670,1688.3,6759673,0,1708.6,1708.6,1670,38.6,-13.6,DOWN,-20.3,,,-236,,,,
2025-03-03T00:00:00+05:30,1692.3,1728.6,1692.3,1708.6,7504969,0,1687.7,1728.6,1687.7,40.9,4.6,UP,20.9,,,-213.55,,,,
2025-02-28T00:00:00+05:30,1755.05,1755.1,1682.45,1687.7,12182167,0,1764.3,1764.3,1682.45,81.85,-9.25,DOWN,-76.6,,,-258.5,,,,
2025-02-27T00:00:00+05:30,1755.2,1775.85,1751.1,1764.3,5757079,0,1767.7,1775.85,1751.1,24.75,-12.5,DOWN,-3.4,,,-214.85,,,,
2025-02-25T00:00:00+05:30,1745.15,1778.45,1745.15,1767.7,5092963,0,1764.1,1778.45,1745.15,33.3,-18.95,UP,3.6,,,-208.9,,,,
2025-02-24T00:00:00+05:30,1800.05,1808,1750.25,1764.1,7594720,0,1815,1815,1750.25,64.75,-14.95,DOWN,-50.9,,,-215.95,,,,
2025-02-21T00:00:00+05:30,1821.8,1829.85,1806.2,1815,3379879,0,1825.15,1829.85,1806.2,23.65,-3.35,DOWN,-10.15,,,-184.7,,,,
2025-02-20T00:00:00+05:30,1805.55,1831,1805.55,1825.15,2218020,0,1810.8,1831,1805.55,25.45,-5.25,UP,14.35,,,-161.85,,,,
2025-02-19T00:00:00+05:30,1847.4,1849.2,1805.9,1810.8,4611411,0,1851.95,1851.95,1805.9,46.05,-4.55,DOWN,-41.15,,,-163.35,,,,
2025-02-18T00:00:00+05:30,1842.3,1861.65,1837.6,1851.95,4365260,0,1842.3,1861.65,1837.6,24.05,0,UP,9.65,,,-96.6,,,,
2025-02-17T00:00:00+05:30,1838.55,1852.75,1822.15,1842.3,4428956,0,1856.4,1856.4,1822.15,34.25,-17.85,DOWN,-14.1,,,-81.35,,,,
2025-02-14T00:00:00+05:30,1854,1859.3,1828.35,1856.4,5292961,0,1843.25,1859.3,1828.35,30.95,10.75,UP,13.15,,,-66,,,,
2025-02-13T00:00:00+05:30,1868.5,1873.5,1835.65,1843.25,5237744,0,1863.15,1873.5,1835.65,37.85,5.35,DOWN,-19.9,,,-91.6,,,,
2025-02-12T00:00:00+05:30,1885,1894.6,1847,1863.15,5633947,0,1875.65,1894.6,1847,47.6,9.35,DOWN,-12.5,,,-26.1,,,,
2025-02-11T00:00:00+05:30,1883.1,1903,1870,1875.65,4411601,0,1880.3,1903,1870,33,2.8,DOWN,-4.65,,,-16.45,,,,
2025-02-10T00:00:00+05:30,1905,1905,1878.6,1880.3,3828734,0,1903.65,1905,1878.6,26.4,1.35,DOWN,-23.35,,,0.5,,,,
2025-02-07T00:00:00+05:30,1919.3,1923.7,1889.45,1903.65,4126260,0,1915.65,1923.7,1889.45,34.25,3.65,DOWN,-12,,,45.8,,,,
2025-02-06T00:00:00+05:30,1917,1924,1900,1915.65,4765255,0,1897.05,1924,1897.05,26.95,19.95,UP,18.6,,,59,,,,
2025-02-05T00:00:00+05:30,1906,1919.7,1894.3,1897.05,4996744,0,1898.8,1919.7,1894.3,25.4,7.2,DOWN,-1.75,,,-27.45,,,,
2025-02-04T00:00:00+05:30,1889,1911.2,1875,1898.8,7334787,0,1863.3,1911.2,1863.3,47.9,25.7,UP,35.5,,,-25.35,,,,
2025-02-03T00:00:00+05:30,1836,1876.55,1832.4,1863.3,4823228,0,1851.35,1876.55,1832.4,44.15,-15.35,UP,11.95,,,-26.4,,,,
2025-02-01T00:00:00+05:30,1880.3,1890.6,1846,1851.35,1701402,0,1879.8,1890.6,1846,44.6,0.5,DOWN,-28.45,,,-50.9,,,,
2025-01-31T00:00:00+05:30,1871,1897.45,1871,1879.8,5820470,0,1859.95,1897.45,1859.95,37.5,11.05,UP,19.85,,,45.75,,,,
2025-01-30T00:00:00+05:30,1873.15,1887.2,1844,1859.95,7336056,0,1881.25,1887.2,1844,43.2,-8.1,DOWN,-21.3,,,35.2,,,,
2025-01-29T00:00:00+05:30,1845,1888.65,1840.5,1881.25,5145155,0,1829.75,1888.65,1829.75,58.9,15.25,UP,51.5,,,69.8,,,,
2025-01-28T00:00:00+05:30,1830,1863.5,1824.9,1829.75,6999495,0,1822,1863.5,1822,41.5,8,UP,7.75,,,-34.8,,,,
2025-01-27T00:00:00+05:30,1848.75,1863,1812,1822,7652371,0,1875.45,1875.45,1812,63.45,-26.7,DOWN,-53.45,,,-46.4,,,,
2025-01-24T00:00:00+05:30,1865.5,1894.9,1864.25,1875.45,4887027,0,1865.45,1894.9,1864.25,30.65,0.05,UP,10,,,6.65,,,,
2025-01-23T00:00:00+05:30,1858,1879.55,1852.7,1865.45,5907471,0,1856.45,1879.55,1852.7,26.85,1.55,UP,9,,,5.35,,,,
2025-01-22T00:00:00+05:30,1807.4,1865.8,1805.15,1856.45,8373913,0,1800.7,1865.8,1800.7,65.1,6.7,UP,55.75,,,26.5,,,,
2025-01-21T00:00:00+05:30,1819.05,1831.65,1793.05,1800.7,7169109,0,1813.3,1831.65,1793.05,38.6,5.75,DOWN,-12.6,,,-2.35,,,,
2025-01-20T00:00:00+05:30,1822.95,1827.95,1793.15,1813.3,4333011,0,1815.45,1827.95,1793.15,34.8,7.5,DOWN,-2.15,,,-10.4,,,,
2025-01-17T00:00:00+05:30,1851,1858,1812,1815.45,16409953,0,1928.45,1928.45,1812,116.45,-77.45,DOWN,-113,,,61.25,,,,
2025-01-16T00:00:00+05:30,1965.95,1966.95,1916.85,1928.45,7533579,0,1949.65,1966.95,1916.85,50.1,16.3,DOWN,-21.2,,,164.8,,,,
2025-01-15T00:00:00+05:30,1947,1958.05,1937.1,1949.65,2985439,0,1940.05,1958.05,1937.1,20.95,6.95,UP,9.6,,,188.8,,,,
2025-01-14T00:00:00+05:30,1968.85,1971.8,1931.1,1940.05,5792162,0,1962.2,1971.8,1931.1,40.7,6.65,DOWN,-22.15,,,182.8,,,,
2025-01-13T00:00:00+05:30,1956,1982.8,1949,1962.2,5804152,0,1966.95,1982.8,1949,33.8,-10.95,DOWN,-4.75,,,160.1,,,,
2025-01-10T00:00:00+05:30,1937,1977.8,1932.25,1966.95,8036913,0,1917.3,1977.8,1917.3,60.5,19.7,UP,49.65,,,127.65,,,,
2025-01-09T00:00:00+05:30,1934.05,1951.85,1910.55,1917.3,6833503,0,1933.15,1951.85,1910.55,41.3,0.9,DOWN,-15.85,,,51.95,,,,
